number,title,state,created at,closed at,user,labels,description,day of week,month,year
50915,Fix teardown callbacks,open,2024-01-30 04:04:00+00:00,,ttstarck,"['actionmailer', 'actionpack', 'activerecord', 'activesupport', 'railties']",pull request creat activerecord flunk end end test fail failureequ 0 name test end end run test case seed run bundl exec rubi epic fail test expect 0 actual 1 test run 2 test singl process parallel threshold 50 run option seed 3383 failur drinktest testfail minitest also provid recommend use http x pull request relat one chang chang unrel open separ pr x test ad updat fix bug add featur,1,1,2024
50914,Generate devcontainer files by default,open,2024-01-29 23:03:25+00:00,,andrewn617,"['railties', 'activestorage', 'actionmailbox', 'actiontext']",http pull request creat gener file new rail app pull request add templat devcontain file gener default devcontain contain follow call option skip remov dev contain config dev contain skip entir pr need open make chang well submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,0,1,2024
50913,Add `activesupport` bug report template,closed,2024-01-29 20:05:19+00:00,2024-01-29 20:27:46+00:00,seanpdoyle,['docs'],introduc activ support bug report templat contributor reproduc issu fail,0,1,2024
50912,Remove stolen data prices from the security guide,closed,2024-01-29 13:26:08+00:00,2024-01-29 15:01:06+00:00,nvasilevski,['docs'],think assum bad actor intent list dark market price probabl outdat stolen data help peopl learn secur web applic propos drop section irrelev creat soft oblig keep info reason section ad guid differ opinion feel free speak,0,1,2024
50911,"Use `httpclient` to run ""Daily build with Ruby head""",closed,2024-01-29 12:42:23+00:00,2024-01-29 17:32:06+00:00,yahonda,[],pull request address daili build rubi head failur http action mailbox need depend master branch ad aliasgetmethod doblockwebmock doblock top requir block 2 level replacerel top requir requir requir block main select main rake abort command fail statu 1 rubi lib test intern array intern array load main task top test see full trace run task trace gem includ http releas yet meantim want make daili build rubi head green newer version http client releas commit revert submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,0,1,2024
50910,Command rails server fails if all db configs have database_tasks: false,open,2024-01-29 06:40:45+00:00,,pjartarkar-mdsol,['activerecord'],put block 3 level class railti undefin method name nil nilclass nomethoderror block withcontrol block 2 level class railti block runhook runhook block modul finish instanceiniti block tsortstronglycompon eachconnectedfrom block eachconnectedstronglycompon tsorteach runrel block main eval newstr loadfil buildandfromapp start perform run invokecommand dispatch perform block invok requir intern requir main,0,1,2024
50909,[ci skip] [docs] make increment requirement explicit,open,2024-01-29 00:07:29+00:00,,jamiemccarthy,['activesupport'],decemb provid rate limit method cach store ratelimit reli featur underli store featur need document remain support altern store know support pr creat document behavior featur pass cacheincrementdecrementbehavior test modul pull request chang document reflect featur exist store,0,1,2024
50907,Skip CSS when creating APIs.,closed,2024-01-28 23:40:26+00:00,2024-01-29 17:37:18+00:00,ruyrocha,['railties'],pull request creat tailwind css includ gener api pull request chang behavior skip css api address part submit pr make sure follow check commit messag detail descript chang pr fix relat issu includ commit messag ex changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,6,1,2024
50904,Commented out lines in .railsrc file should not be treated as arguments,closed,2024-01-28 21:19:42+00:00,2024-01-29 18:17:30+00:00,williantenfen,['railties'],comment line file treat argument use rail new gener command pull request creat railsrc file handl comment line issu 50899 pull request chang railti argvscrubb ignor text symbol submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,6,1,2024
50903,Change skeleton test to assert exact file output,closed,2024-01-28 20:05:05+00:00,2024-01-29 17:54:38+00:00,skipkayhil,['railties'],previous skeleton test would assert everi file ensur gener file list must updat file ad remov gener addit use array equal sort list would significantli longer folder reason patch also includ chang longer gener folder default folder implement detail sprocket need special treatment rail creat directori exist usual wo sinc exclud git task alreadi clear subdirectori final test make assert default output app gener remov made redund improv skeleton test previou commit 1 app gener skeleton test updat verifi exact file output gener new applic commit appli chang plugin gener first hesit add list dummi app file plugin gener test howev quickli becam appar good idea make chang expos recent file addit app gener ad plugin dummi app well thing like ci file rubocop configur brakeman command creat dummi app properli exclud similar app gener commit chang also remov test redund due skeleton test verifi exact list file gener 1 http,6,1,2024
50902,Remove add_autoload_paths_to_load_path docs from autoloading guide,closed,2024-01-28 17:18:30+00:00,2024-01-28 18:16:27+00:00,fxn,['docs'],suggest deemphas true default byroot think could even perhap consid flag transit aid could deprec later delet siaw23,6,1,2024
50901,[Fix #50897] Autosaving `has_one` sets foreign key attribute when unchanged,open,2024-01-28 09:30:20+00:00,,joshuay03,['activerecord'],fix http similar http updat associ ensur rais chang made attribut none submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,6,1,2024
50900,"Make it possible to skip CSS when generating APIs, or bring the possibility to skip entire `railsrc` or template files.",closed,2024-01-27 18:19:52+00:00,2024-01-29 17:42:06+00:00,ruyrocha,['railties'],relev file rubi outcom tri creat api app use file shell ruy devast rail new api use base specifi option follow option also activ due api due due api fetch gem metadata http resolv depend bundl complet 19 gemfil depend 100 gem instal use see bundl gem instal run bundl lock write lockfil run bundl binstub bundler rail tailwindcss instal abort know build task precompil see list avail task main gener api app,5,1,2024
50899,Allow comments on `railsrc`.,closed,2024-01-27 18:10:54+00:00,2024-01-29 17:44:02+00:00,ruyrocha,[],allow comment file right treat argument rubi ruy devast rail new api use base specifi option follow option also activ due api due due api comment line treat argument comment behav like command line argument,5,1,2024
50898,Allow customization to console prompt's format,closed,2024-01-27 15:49:48+00:00,2024-01-28 14:11:49+00:00,nathansamson,['railties'],allow custom new consol prompt instead look newli introduc environ variabl replac word regardless env use case multipl product environ stage environ also use rail env use overrid colour use differenti real product environ stage qa environ run mode pull request creat often work differ product like environ eg use set differ case eg one could stage environ even multipl product environ eg differ instal differ tenant case still want color environ eg red actual product environ cyan stage environ correctli name pull request chang http took liberti chang last changelog entri add name instead creat new changelog entri chang relat latest chang anyway submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,5,1,2024
50897,Incorrectly raising `ReadonlyAttributeError` when autosaving `has_one` association with readonly foreign key,open,2024-01-27 12:29:15+00:00,,Earlopain,"['activerecord', 'attached PR']",rail set yet error still set stop set column error goe away rubi requir gemfil true sourc http gitrecord requir requir logger activerecord true activerecord createtop forc true updatert forumid forumid bodi end end class forumtop activerecord asc classof forumassoci originalpost acceptsattributesforumreadonli forumid belongstop beforeid 456 els topic titl hi originalposttopicequ 456 end end master,5,1,2024
50896,Improve ActionView::Helpers::UrlHelper button_to explanation [ci-skip],closed,2024-01-27 07:05:38+00:00,2024-01-28 14:50:10+00:00,yin0110,['actionview'],pull request creat current method document rail api lack clariti regard default http request behavior base object persist updat aim explicitli differenti post patch request method document provid clearer guidanc develop especi handl object differ persist state submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,5,1,2024
50895,Enhanced ActiveStorage variant tracking control,open,2024-01-27 04:41:38+00:00,,JaceBayless,['activestorage'],project everi variant gener automat track databas origin record case applic want track variant record unabl chang default configur meant properli gener variant use directli gener variant record work gener two concern pull request add option method allow overrid track fals resizelimit 100 100 rubi 100 100 first time contribut rail appreci anyon take time read tri best follow convent keep current function case miss someth happi discuss fix whatev need submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,5,1,2024
50894,Add cost argument to has_secure_password,open,2024-01-26 22:52:13+00:00,,t27duck,['activemodel'],may instanc develop work environ higher cost default 12 bcrypt requir either due arbitrari secur requir recommend minimum chang version bcrypt use updat chang add argument provid use valu password cost valu valid make sure addit expos conveni method determin cost use set password hash use review current cost user record either transpar upgrad user password forc password reset 100 marri use argument name affect new password creat record go forward submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,4,1,2024
50893, Unify the logic to determine the default schema cache path for a database configuration,closed,2024-01-26 22:26:39+00:00,2024-01-29 18:36:47+00:00,rafaelfranca,"['activerecord', 'railties']",applic one databas configur primari load default boot time connect pool load schema cach lazili logic found http lazi code path use logic determin name default schema cach file railti use load schema cach primari config config tabl name coincid noth bad would happen tabl name coincid schema would complet wrong connect,4,1,2024
50892,Documentation: Expand documentation on has_one_attached method [ci-skip].,open,2024-01-26 20:02:30+00:00,,Takahashi-Seiji,['activestorage'],give context requir use hasattach method applic activejob queue adapt tri destroy record rais error need queue adapt depend hasattach method queue adapt ad context function requir use hasattach method import submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,4,1,2024
50891,Clean up trilogy error translation,closed,2024-01-26 17:54:02+00:00,2024-01-26 18:27:12+00:00,composerinteralia,['activerecord'],commit make chang trilog error translat http introduc inherit backward compat far tell trilog rais commit rescu error instead treat connect error get probabl bug trilog fix like eventu get rid trilogysequencesha2a trilog messag pool els super end need chang trilog possibl,4,1,2024
50890,Make ActiveSupport DelegationError Sorbet friendly,closed,2024-01-26 16:38:54+00:00,2024-01-26 18:16:18+00:00,djensenius,['activesupport'],fix activesupport delegationerror caus issu sorbet caus follow sorbet error error sorbet 4022 initi class constant assign occur made chang suggest submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,4,1,2024
50889,Introduce `ActiveSupport::TestCase.around`,open,2024-01-26 15:29:23+00:00,,seanpdoyle,"['activesupport', 'docs']",discuss test framework new project absenc hook usual focal point convers push consensu toward altern test har minitest gem provid support activ support callback system make ad hook fairli trivial guarante implement way callback control job mailer add callback run around block yield test class instanc test case block rubi class test activesupport around submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,4,1,2024
50888,🕳️ Make DelegationError Sorbet friendly,closed,2024-01-26 14:01:27+00:00,2024-01-26 14:01:34+00:00,djensenius,['activesupport'],pull request creat replac pull request chang replac submit pr make sure follow check commit messag detail descript chang pr fix relat issu includ commit messag ex changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,4,1,2024
50887,Add row_count field to sql.active_record notification,closed,2024-01-26 13:55:17+00:00,2024-01-29 18:02:16+00:00,marvin-bitterlich,"['activerecord', 'docs']",intercom work detect queri larg result set vitess base databas like case planetscal block queri return default 100k result set row intern patch work well us thought contribut upstream other benefit pull request chang x pull request relat one chang chang unrel open separ pr x test ad updat fix bug add featur,4,1,2024
50886,"[Fix #50812] Don't duplicate selects, inner and outer joins when merging with STI",open,2024-01-26 13:54:50+00:00,,joshuay03,['activerecord'],fix http pull request chang l101 think similar case sinc preload valu simpli use preload associ thought would mention anyway submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,4,1,2024
50885,Document Attached::Model#attachment_changes [ci skip],open,2024-01-26 13:18:39+00:00,,tsvallender,"['docs', 'activestorage']",add document method activ storag submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,4,1,2024
50884,`ReferenceError: File is not defined`,closed,2024-01-26 09:34:22+00:00,2024-01-26 18:41:01+00:00,Annastacia-dev,[],use activestorag npm packag nextj app import directupload compon error emerg code upload file hit const uploadfil file rcfile const upload new directupload file error error blob error error els blob error stack import trace request modul use vite reactj app recent encount error,4,1,2024
50883,Put plural inverse association inference behind a configuration flag,open,2024-01-26 09:19:56+00:00,,casperisfine,"['activerecord', 'railties']",ref http invers associ configur gener posit avoid extra queri etc infer may break legeci code evidenc broke http ca enabl behavior immedi need provid upgrad path user stage pr quick draft discuss exactli gate make regular framework default perhap emit deprec warn would infer invers relat would help user upgrad cc rafaelfranca gener great insight kind new framework default,4,1,2024
50882,Prevent rdoc task from excluding the main page,closed,2024-01-26 06:10:07+00:00,2024-01-26 18:31:53+00:00,sato11,['railties'],bug main page becom unabl found chang ensur happen close http submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,4,1,2024
50881,Update caching_with_rails.md regarding extension in filename [ci skip],closed,2024-01-26 03:51:09+00:00,2024-01-30 09:17:39+00:00,D-system,['docs'],pull request creat document sinc 39164 extens filenam deprec ship rail remov rail submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,4,1,2024
50880,Use uniform spacing in 7.1 new framework defaults,closed,2024-01-25 21:18:24+00:00,2024-01-25 22:27:55+00:00,Earlopain,['railties'],last five entri two newlin ca see good reason see addit inconsist trip rubocop enabl default,3,1,2024
50879,Transform actionpack documentation to Markdown,open,2024-01-25 19:53:03+00:00,,rafaelfranca,['actionpack'],relat 50759 reproduc result,3,1,2024
50878,Revert help on unrecognized bare options,closed,2024-01-25 19:01:16+00:00,2024-01-25 19:36:36+00:00,djensenius,['railties'],pull request creat 50798 creat issu run trace pull request revert chang 50798 add test fail aforement pr specif ran troubl run submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,3,1,2024
50877,Move server shutdown translation to abstract mysql adapter,closed,2024-01-25 18:04:43+00:00,2024-01-25 21:01:53+00:00,composerinteralia,['activerecord'],1053 server shutdown error code see fairli often github exampl shut vitess vtage process mainten translat error allow us treat retryabl connect error reconnect hit new vtage process true regardless whether adapt trilog mysql2 whatev commit move translat abstract mysql adapt,3,1,2024
50876,Allow encryption without compression,closed,2024-01-25 14:50:53+00:00,2024-01-29 19:19:42+00:00,djmb,['activerecord'],may want avoid compress use activerecord encrypt reason includ add option activerecord default set encryptor never compress data use option model rubi class record applicationrecord encrypt field encryptor activerecord compress fals end,3,1,2024
50875,Allow `--trace` to be first command when running `bin/rails`,closed,2024-01-25 14:49:52+00:00,2024-01-25 17:39:34+00:00,djensenius,"['activerecord', 'railties']",recent pr http contain bug use first argument help screen shown break exist allow practic pr allow use pull request chang one check explicitli allow work anoth option would roll back 50798 cc jonathanhefn made origin pr submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,3,1,2024
50874,docs: correct fixed-width font documentation,closed,2024-01-25 14:46:40+00:00,2024-01-25 19:20:10+00:00,Uaitt,['activejob'],pull request correct font document modul img 1127 screenshot 15 40 32 http img 1127 screenshot 15 40 19 http submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,3,1,2024
50873,dump schema: ignore tables from any postgres schema,open,2024-01-25 13:31:52+00:00,,gagalago,['activerecord'],pull request improv current implement ignor tabl schema dump allow ignor tabl postgr schema public pull request chang replac propos implement lack abil specifi exactli schema tabl ignor think even better current implement changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ feel code chang small request updat changelog write new test,3,1,2024
50872,Improve Active Support delegation,closed,2024-01-25 10:20:04+00:00,2024-01-25 11:16:18+00:00,casperisfine,"['activerecord', 'activesupport', 'actionview', 'actioncable']",hand differ cleanup optim see individu commit full context ideal deprec kinda worri defin fear might unintend consequ littl reason someon would rescu perhap remov without deprec cycl left alia,3,1,2024
50871,"Running ""bundle exec rake rdoc"" more than once does not work",closed,2024-01-25 03:59:13+00:00,2024-01-26 18:31:54+00:00,sato11,[],gener document file chang sinc api gener accord abort messag like pars sourc 100 1 gener api format rake abort could find main page seldom touch necessari rdoc build abl execut task seem bug one hand hand fact one ever fix sinc chang took place year ago make bias believ bug follow got stuck believ someth fix afraid abl tell program issu document issu like seek advic anybodi come across issu,3,1,2024
50870,Add tools/rdoc-to-md script,closed,2024-01-25 00:12:26+00:00,2024-01-25 19:27:46+00:00,skipkayhil,['actiontext'],ref 50759 gener idea comment comment comment instead insert new markdown comment littl extra work metaprogram document tomarkdown turn rdoc direct h1 case direct first split top tomarkdown transform ad back afterward,3,1,2024
50869,Ensure all RubyTracker RenderParsers are tested,closed,2024-01-24 23:44:59+00:00,2024-01-26 00:05:43+00:00,skipkayhil,['actionview'],previous prismrenderpars ripperrenderpars would test depend prism gem avail meant prismrenderpars test rubi ripperrenderpars test rubi addit someon add prism gemfil wrote tool use ripperrenderpars would end complet untest commit small refactor enabl test renderpars rubi version prism gem ad gemfil,2,1,2024
50868,Comparing `Time` object with an integer doesn't throw an error ,open,2024-01-24 22:29:19+00:00,,tgxworld,"['activesupport', 'With reproduction steps']",rubi requir gemfil true sourc http gitsupport requir requir class bugtest minitest def testi 999i end end sure would expect one follow error rais code alway evalu,2,1,2024
50867,Initialize ActiveRecord::Migrator.migrations_paths at application initialization,open,2024-01-24 17:44:10+00:00,,fsateler,['activerecord'],alreadi done rake task load schema result pack migrat record initi seed tabl attempt run migrat tenant migrat would tri run fail pull request creat fix ensur whenev app load correct default path load pull request chang initi rake task app initi process submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,2,1,2024
50866,[mysql] Fix primary key auto-population for models backed by views,closed,2024-01-24 17:21:06+00:00,2024-01-25 15:04:23+00:00,nvasilevski,['activerecord'],fix http mysql commit address issu fix c2c861f98ae25d0daa177898db48f12de1065cf6 mysql main fix remov unnecessari check prevent pk valu set record chang also reveal issu list built use one mysql adapt list excess number column name even though mysql capabl return one column valu last insert id commit overrid column unless databas support statement,2,1,2024
50865,Scaffold view templates using Strict Locals,closed,2024-01-24 15:00:56+00:00,2024-01-26 01:45:21+00:00,seanpdoyle,"['railties', 'actiontext']",strict templat local introduc part releas encourag use within new applic file commit chang scaffold exampl templat use strict local addit scaffold commit includ sinc copi host applic part releas http submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,2,1,2024
50864,Mention Strict Locals in more documentation,closed,2024-01-24 13:33:36+00:00,2024-01-25 21:01:18+00:00,seanpdoyle,"['docs', 'actionview']",motiv background strict local support introduc 45727 announc part releas sever mention across guid support rare mention api document detail commit add two test case ensur support splat addit argument forbid block posit argument also make mention strict local place link guid 45727 http releas http,2,1,2024
50863,Merge pull request #50789 from p8/docs/relative-includes [ci-skip],closed,2024-01-24 12:07:49+00:00,2024-01-24 12:41:13+00:00,p8,"['actionmailer', 'activemodel', 'activerecord', 'activesupport', 'railties', 'actionview', 'activejob', 'actioncable', 'activestorage', 'actionmailbox', 'actiontext']",submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,2,1,2024
50862,Accept Tempfile as ActiveStorage attachable,open,2024-01-24 10:31:28+00:00,,shouichi,['activestorage'],alreadi accept attach,2,1,2024
50861,ActionView: Raise on invalid format,open,2024-01-24 08:37:24+00:00,,3v0k4,['actionview'],fix 45636 pull request add check use check extend public method class search templat submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,2,1,2024
50860,"Add "".[key]"" to the abstract namespaces [ci skip]",closed,2024-01-24 07:58:00+00:00,2024-01-29 22:45:55+00:00,yykamei,['docs'],section error messag scope describ rail look namespac valid error messag code snippet first code snippet show abstract namespac like second one demonstr materi one like first code snippet lack valid error key team member confus creat translat without key think would help add key abstract namespac submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex changelog file updat chang librari behavior chang addit featur minor bug fix document chang,2,1,2024
50859,Don't mutate row arrays that come back from the database adapter,closed,2024-01-24 00:34:35+00:00,2024-01-24 00:49:08+00:00,tenderlove,['activerecord'],version would like make row array frozen test chang break test chang test think mutat object databas adapt return,2,1,2024
50858,Support options for ActionMailer delivery callbacks,open,2024-01-23 23:16:27+00:00,,fatkodima,['actionmailer'],close http code work etc current miss want valid approach proceed insid action mailer reus privat method implement callback action control see http l493 cc bensheldon,1,1,2024
50857,"eager_load, includes load wrong data using composite primary keys and query_constraints",closed,2024-01-23 21:35:03+00:00,2024-01-25 15:47:32+00:00,ylansegal,"['activerecord', 'attached PR']",thank ad support composit primari key rail believ found use case incorrect activerecord object return use associ composit primari key work expect repro rubi requir gemfil true sourc http gem activerecord gem sqlite3 end requir activeconnect adapt sqlite3 databas memori activerecord createt user primaryid forc true id companyt profil primaryid forc true id companyid end end class compani activerecord hasto compani hasconstraint userid end class profil activerecord belongsconstraint userid end class bugtest minitest fail def testload compani user1 id 1 id 101 user user1 user2 id 2 id 102 user user2 relat profil assertload profil profil end fail def testequ profil profil profil end pass def testequ profil profil profil end end test travers associ want load user avoid queri howev queri return first profil user gener sql queri look correct sql select user id t0id t0r0 profil companyr1 profil userr2 user inner join profil profil userid user companyid lead believ issu convert activerecord object bug seem present composit primari key setup setup way around case bug present thank much work,1,1,2024
50856,Document autosave validation behavior for ActiveRecord associations [ci skip],open,2024-01-23 19:41:36+00:00,,Dmoment,['activerecord'],pull request add document comment belongson method activerecord explain autosav true also enabl valid default reflect actual behavior method describ sourc code observ applic behavior refer issu discuss rail undocu valid enabl autosav 50807 inlin gemfil bundler exampl rubi requir gemfil sourc http gem rail gem sqlite3 end requir activeconnect adapt sqlite3 databas memori activerecord stdout activerecord createt book book autosav true end class book activerecord belongsautosavevalid author name rowl titl ca blank book contain error titl end end submit pr make sure follow check x commit messag includ detail descript chang exampl doc 50807 document autosav valid behavior associ x changelog updat sinc minor document chang affect librari behavior,1,1,2024
50855,Display dev & test env in console prompt in blue instead of green,closed,2024-01-23 18:08:16+00:00,2024-01-24 11:55:21+00:00,st0012,['railties'],combin red blue friendli red green discuss http submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,1,1,2024
50854,Fix rotation detection for HDR videos,closed,2024-01-23 17:20:38+00:00,2024-01-23 19:28:12+00:00,railsbob,['activestorage'],fix http video analyz reli posit refer sidedata guarante posit video instanc hdr video shot io portrait mode dovi configur record sidedata retriev rotat angl submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,1,1,2024
50853,Video analyzer does not detect rotation of HDR videos,closed,2024-01-23 16:16:32+00:00,2024-01-23 19:28:13+00:00,railsbob,"['attached PR', 'activestorage']",place sampl video besid gem rail github branch main gem sqlite3 end requir requir tmpdir class testapp rail local local root servic disk end env databasecreatestorag activerecord createoneanalyzingrotatedvideo messag video metadata analyz assertequ metadata height http attach video shot iphon portrait mode analyz blob detect rotat angl valu return height width respect height return width ignor rotat valu,1,1,2024
50852,Action View: Fallback to existing partial when possible,open,2024-01-23 15:19:52+00:00,,seanpdoyle,['actionview'],close 50844 motiv background control declar modul render activ model instanc whose partial declar root view directori like control scope within modul render activ model instanc whose partial declar root view directori like true default chang introduc march 2012 part 5625 detail consum action view intuit lookup would fallback way control inherit could defin view reli fallback render partial commit modifi behavior grace fall back view partial checklist submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ 59844 http http 5625 http,1,1,2024
50851,Update Guides: AR querying english text to match code behavior [ci-skip],closed,2024-01-23 12:10:23+00:00,2024-01-25 19:27:16+00:00,notapatch,['docs'],activ record queri doc english statement wrong english text impli return book author howev code return book join mean return book author least 1 review chang text impli return book author instead book author submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,1,1,2024
50850,belongs_to association doesn't work with composite `primary_key` option,open,2024-01-23 10:56:14+00:00,,bguban,['activerecord'],aggreg model repres entiti differ provid model singl primari provid composit key must use 2 column abl build reflect class ticker applicationrecord model gvkey iid primari key field build relat hasact primaryconstraint gvkey iid end class coaction model gvkey iid foreign key belongskey gvkey iid checkconstraint primarykey valu activerecord would expect receiv ticker model instead compositekey gem expect rail relat builder convert primari key string instead see messag string activerecord associationkey,1,1,2024
